CustomerID,CustomerName,City,Category,Price,Quantity,Discount,Email,TotalAmount
1029,Customer_1029,Chennai,Sports,2196,9,10,customer1029@example.com,19764
1038,Customer_1038,Pune,Sports,4757,3,5,customer1038@example.com,14271
1102,Customer_1102,Pune,Grocery,3290,10,0,customer1102@example.com,32900
1040,Customer_1040,Chennai,Clothing,762,7,5,customer1040@example.com,5334
1051,Customer_1051,Chennai,Electronics,1448,7,0,customer1051@example.com,10136
1058,Customer_1058,Chennai,Electronics,4766,4,0,customer1058@example.com,19064
1116,Customer_1116,Kolkata,Clothing,3121,3,0,customer1116@example.com,9363
1035,Customer_1035,Bengaluru,Sports,3841,2,5,customer1035@example.com,7682
1042,Customer_1042,Indore,Sports,3972,4,15,customer1042@example.com,15888
1048,Customer_1048,Pune,Electronics,3730,9,0,customer1048@example.com,33570
1057,Customer_1057,Jaipur,Electronics,4974,2,5,customer1057@example.com,9948
1103,Customer_1103,Indore,Grocery,4007,1,10,customer1103@example.com,4007
1030,Customer_1030,Kolkata,Sports,4919,9,10,customer1030@example.com,44271
1049,Customer_1049,Delhi,Sports,220,2,5,customer1049@example.com,440
1101,Customer_1101,Hyderabad,Sports,3916,7,0,customer1101@example.com,27412
1106,Customer_1106,Delhi,Grocery,2853,7,5,customer1106@example.com,19971
1108,Customer_1108,Indore,Sports,322,2,15,customer1108@example.com,644
1118,Customer_1118,Bengaluru,Sports,3174,7,5,customer1118@example.com,22218
1125,Customer_1125,Chennai,Sports,2298,6,5,customer1125@example.com,13788
1126,Customer_1126,Mumbai,Clothing,3792,4,15,customer1126@example.com,15168
1129,Customer_1129,Hyderabad,Clothing,2888,5,10,customer1129@example.com,14440
1021,Customer_1021,Mumbai,Grocery,5265,1,10,customer1021@example.com,5265
1056,Customer_1056,Lucknow,Sports,2869.3571428571427,1,0,customer1056@example.com,2869.3571428571427
1114,Customer_1114,Pune,Furniture,266,10,5,customer1114@example.com,2660
1022,Customer_1022,Pune,Furniture,4722,7,0,customer1022@example.com,33054
1039,Customer_1039,Pune,Electronics,828,3,0,customer1039@example.com,2484
1041,Customer_1041,Bengaluru,Grocery,1855,9,5,customer1041@example.com,16695
1117,Customer_1117,Jaipur,Clothing,985,10,0,customer1117@example.com,9850
1031,Customer_1031,Kolkata,Unknown,1147,8,10,customer1031@example.com,9176
1033,Customer_1033,Kolkata,Grocery,1108,9,5,customer1033@example.com,9972
1034,Customer_1034,Bengaluru,Grocery,4973,4,10,customer1034@example.com,19892
1107,Customer_1107,Kolkata,Furniture,4475,1,15,customer1107@example.com,4475
1124,Customer_1124,Lucknow,Clothing,4508,8,15,customer1124@example.com,36064
1024,Customer_1024,Pune,Electronics,3327,9,15,customer1024@example.com,29943
1028,Customer_1028,Indore,Furniture,4694,8,10,customer1028@example.com,37552
1053,Customer_1053,Lucknow,Grocery,1368,4,10,customer1053@example.com,5472
1115,Customer_1115,Pune,Furniture,3979,2,5,customer1115@example.com,7958
1121,Customer_1121,Lucknow,Grocery,3135,2,10,customer1121@example.com,6270
1032,Customer_1032,Bengaluru,Electronics,2255,4,0,customer1032@example.com,9020
1037,Customer_1037,Mumbai,Furniture,2153,9,10,customer1037@example.com,19377
1046,Customer_1046,Pune,Furniture,1658,9,15,customer1046@example.com,14922
1119,Customer_1119,Mumbai,Sports,2089,2,10,customer1119@example.com,4178
1026,Customer_1026,Lucknow,Clothing,3004,8,10,customer1026@example.com,24032
1045,Customer_1045,Mumbai,Electronics,3398,6,0,customer1045@example.com,20388
1128,Customer_1128,Kolkata,Clothing,1589,8,5,customer1128@example.com,12712
1036,Customer_1036,Hyderabad,Grocery,3329,5,15,customer1036@example.com,16645
1054,Customer_1054,Pune,Electronics,4844,9,0,customer1054@example.com,43596
1109,Customer_1109,Jaipur,Grocery,1588,1,10,customer1109@example.com,1588
1120,Customer_1120,Indore,Electronics,4736,1,10,customer1120@example.com,4736
1123,Customer_1123,Hyderabad,Grocery,1353,7,5,customer1123@example.com,9471
1130,Customer_1130,Lucknow,Electronics,4332,4,0,customer1130@example.com,17328
1044,Customer_1044,Hyderabad,Grocery,3467,8,0,customer1044@example.com,27736
1047,Customer_1047,Jaipur,Grocery,1603,5,15,customer1047@example.com,8015
1050,Customer_1050,Jaipur,Grocery,4078,8,5,customer1050@example.com,32624
1055,Customer_1055,Hyderabad,Electronics,510,10,15,customer1055@example.com,5100
1060,Customer_1060,Bengaluru,Furniture,2673,4,10,customer1060@example.com,10692
1104,Customer_1104,Bengaluru,Grocery,3532,9,5,customer1104@example.com,31788
1110,Customer_1110,Chennai,Clothing,1833,8,10,customer1110@example.com,14664
1112,Customer_1112,Mumbai,Grocery,258,9,0,customer1112@example.com,2322
1027,Customer_1027,Hyderabad,Furniture,4152,10,10,customer1027@example.com,41520
1043,Customer_1043,Chennai,Furniture,872,2,15,customer1043@example.com,1744
1052,Customer_1052,Chennai,Clothing,3827,5,15,customer1052@example.com,19135
1059,Customer_1059,Indore,Electronics,3534,10,10,customer1059@example.com,35340
1105,Customer_1105,Kolkata,Furniture,2335,7,15,customer1105@example.com,16345
1122,Customer_1122,Delhi,Grocery,4115,2,15,customer1122@example.com,8230
1127,Customer_1127,Indore,Sports,3204,6,0,customer1127@example.com,19224
1023,Customer_1023,Kolkata,Electronics,1492,9,15,customer1023@exam.com,13428
1025,Customer_1025,Kolkata,Clothing,5116,2,0,customer1025@example.com,10232
1111,Customer_1111,Hyderabad,Grocery,2379,7,10,customer1111@example.com,16653
1113,Customer_1113,Hyderabad,Furniture,662,1,0,customer1113@example.com,662
